date,direction,entry,pnl_points,orb_range
2026-08-02 00:00:00-04:00,short,7549.5,0.25,8.0
2026-08-03 00:00:00-04:00,long,7565.0,0.25,4.0
2026-08-04 00:00:00-04:00,long,7645.75,1.5,4.0
2026-08-05 00:00:00-04:00,long,7792.75,2.0,4.5
2026-08-06 00:00:00-04:00,short,7761.0,-4.0,4.0
2026-08-07 00:00:00-04:00,long,7732.25,1.5,6.75
2026-08-09 00:00:00-04:00,long,7773.5,2.75,10.5
2026-08-10 00:00:00-04:00,long,7788.75,1.5,6.5
2026-08-13 00:00:00-04:00,long,7777.25,2.25,5.25
2026-08-18 00:00:00-04:00,short,7739.5,1.25,4.75
2026-08-19 00:00:00-04:00,short,7704.5,0.5,4.5
2026-08-21 00:00:00-04:00,short,7665.75,0.25,4.25
2026-08-23 00:00:00-04:00,long,7685.5,3.75,3.75
2026-08-24 00:00:00-04:00,short,7680.5,0.75,4.5
2026-08-27 00:00:00-04:00,short,7724.0,3.25,3.5
2026-08-30 00:00:00-04:00,short,7706.5,1.5,8.25
