date,direction,entry,pnl_points,ib_range
2026-08-02 00:00:00-04:00,short,7548.5,3.0,8.0
2026-08-03 00:00:00-04:00,short,7560.0,-2.0,4.0
2026-08-04 00:00:00-04:00,long,7646.75,0.5,4.0
2026-08-05 00:00:00-04:00,long,7793.75,-2.25,4.5
2026-08-06 00:00:00-04:00,short,7760.0,-2.0,4.0
2026-08-07 00:00:00-04:00,long,7733.25,0.5,6.75
2026-08-09 00:00:00-04:00,long,7774.5,-5.25,10.5
2026-08-10 00:00:00-04:00,long,7789.75,0.5,6.5
2026-08-13 00:00:00-04:00,long,7778.25,-2.62,5.25
2026-08-18 00:00:00-04:00,short,7738.5,-2.38,4.75
2026-08-19 00:00:00-04:00,short,7703.5,-2.25,4.5
2026-08-21 00:00:00-04:00,long,7671.0,2.5,4.25
2026-08-24 00:00:00-04:00,short,7679.5,-2.25,4.5
2026-08-30 00:00:00-04:00,short,7705.5,0.5,8.25
